File,Center_x_new,Center_y_new,Orientation
ALI_oc0x06010_flt_0.fits,803.975882435,303.234865935,-159.945
ALI_oc0x06020_flt_0.fits,804.1152780169999,303.26923257,-159.945
ALI_oc0x06030_flt_0.fits,804.084502862,302.980608138,-159.945
ALI_oc0x06040_flt_0.fits,804.066316137,303.095085957,-159.945
ALI_oc0x07010_flt_0.fits,804.008740878,302.951627399,-151.945
ALI_oc0x07020_flt_0.fits,803.9929463880001,302.882976932,-151.945
ALI_oc0x07030_flt_0.fits,803.95876884,302.99574922200003,-151.945
ALI_oc0x07040_flt_0.fits,804.060258785,302.894314369,-151.945
ALI_oc0x08010_flt_0.fits,804.071712042,303.076490205,-143.945
ALI_oc0x08020_flt_0.fits,804.1205666489999,302.787669429,-143.945
ALI_oc0x08030_flt_0.fits,804.01777949,302.96456008,-143.945
ALI_oc0x08040_flt_0.fits,804.044015749,302.865923785,-143.945
ALI_oc0x09010_flt_0.fits,803.843732167,303.312742707,-165.945
ALI_oc0x09020_flt_0.fits,804.0133529289999,303.280642317,-165.945
ALI_oc0x09030_flt_0.fits,804.0032177180001,303.409410976,-165.945
ALI_oc0x09040_flt_0.fits,804.060509102,303.39377897400004,-165.945
ALI_oc0x10010_flt_0.fits,804.0014839639999,303.718839706,-157.945
ALI_oc0x10020_flt_0.fits,803.951758337,303.612421242,-157.945
ALI_oc0x10030_flt_0.fits,803.9160336739999,303.35713618299997,-157.945
ALI_oc0x10040_flt_0.fits,803.838918262,303.467710712,-157.945
ALI_oc0x11010_flt_0.fits,803.9107215610001,303.35697875299996,-149.945
ALI_oc0x11020_flt_0.fits,804.0007072000001,303.224558533,-149.945
ALI_oc0x11030_flt_0.fits,803.92950615,303.240676791,-149.945
ALI_oc0x11040_flt_0.fits,804.1434343410001,303.178562741,-149.945
ALI_oc0x12010_flt_0.fits,803.765701666,303.560523125,-141.945
ALI_oc0x12020_flt_0.fits,803.6965313889999,303.43626808700003,-141.945
ALI_oc0x12030_flt_0.fits,803.936895287,303.42357087700003,-141.945
ALI_oc0x12040_flt_0.fits,803.9021306789999,303.348064122,-141.945
